model_a,model_b,winner,category
amazon.nova-pro-v1:0,gemini-2.5-pro,model_a,coding
minimax-m1,magistral-medium-2506,model_a,coding
qwen3-235b-a22b-no-thinking,command-a-03-2025,model_a,other
o3-mini,mistral-medium-2505,model_b,other
claude-opus-4-20250514,deepseek-r1-0528,model_a,other
gemini-2.5-pro-preview-05-06,chatgpt-4o-latest-20250326,model_a,other
qwq-32b,claude-3-5-haiku-20241022,model_a,other
deepseek-v3-0324,grok-3-preview-02-24,model_b,other
gemma-3-27b-it,gemini-2.0-flash-001,model_a,other
qwen3-235b-a22b-no-thinking,mistral-small-2506,model_a,other
llama-4-maverick-03-26-experimental,claude-3-7-sonnet-20250219-thinking-32k,model_b,coding
grok-3-mini-high,chatgpt-4o-latest-20250326,model_b,other
magistral-medium-2506,amazon-nova-experimental-chat-05-14,model_b,coding
minimax-m1,qwq-32b,model_b,other
grok-3-mini-high,gpt-4.1-mini-2025-04-14,model_a,coding
qwen3-30b-a3b,claude-3-5-haiku-20241022,model_a,other
kimi-k2-0711-preview,llama-4-maverick-17b-128e-instruct,model_a,coding
gemini-2.0-flash-001,claude-opus-4-20250514,model_a,other
magistral-medium-2506,amazon.nova-pro-v1:0,model_a,other
qwen3-235b-a22b,command-a-03-2025,model_a,coding
claude-3-7-sonnet-20250219,llama-4-maverick-17b-128e-instruct,model_a,other
gemma-3n-e4b-it,claude-3-5-sonnet-20241022,model_b,other
llama-4-maverick-17b-128e-instruct,qwen3-235b-a22b-instruct-2507,model_b,other
o3-mini,gpt-4o-mini-2024-07-18,model_a,other
o3-mini,gpt-4o-mini-2024-07-18,model_b,other
claude-3-5-haiku-20241022,qwq-32b,model_b,coding
gemma-3-27b-it,chatgpt-4o-latest-20250326,model_b,other
gemma-3-27b-it,grok-3-mini-high,model_a,coding
claude-sonnet-4-20250514-thinking-32k,grok-3-mini-beta,model_b,other
gemma-3-27b-it,gpt-4.1-mini-2025-04-14,model_a,other
amazon.nova-pro-v1:0,deepseek-v3-0324,model_a,other
kimi-k2-0711-preview,claude-sonnet-4-20250514-thinking-32k,model_a,other
mistral-small-2506,kimi-k2-0711-preview,model_b,other
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-pro,model_a,other
mistral-medium-2505,grok-3-preview-02-24,model_a,coding
o4-mini-2025-04-16,chatgpt-4o-latest-20250326,model_b,coding
gpt-4.1-mini-2025-04-14,command-a-03-2025,model_b,other
gpt-4.1-2025-04-14,gpt-4.1-mini-2025-04-14,model_a,other
claude-opus-4-20250514,deepseek-v3-0324,model_b,coding
grok-3-mini-beta,qwen3-235b-a22b-no-thinking,model_a,other
claude-sonnet-4-20250514-thinking-32k,grok-3-mini-beta,model_b,other
grok-3-mini-high,o4-mini-2025-04-16,model_a,coding
claude-3-7-sonnet-20250219-thinking-32k,magistral-medium-2506,model_a,other
claude-3-7-sonnet-20250219,llama-4-scout-17b-16e-instruct,model_a,coding
command-a-03-2025,claude-sonnet-4-20250514-thinking-32k,model_a,coding
qwen3-235b-a22b-no-thinking,o4-mini-2025-04-16,model_a,coding
grok-3-mini-high,deepseek-r1-0528,model_b,other
gemini-2.5-pro,o3-mini,model_a,other
gemma-3-27b-it,llama-3.3-70b-instruct,model_a,other
grok-3-mini-beta,claude-sonnet-4-20250514,model_a,coding
deepseek-v3-0324,o3-2025-04-16,model_b,other
o3-2025-04-16,deepseek-r1-0528,model_a,coding
gpt-4.1-2025-04-14,amazon.nova-pro-v1:0,model_a,other
chatgpt-4o-latest-20250326,command-a-03-2025,model_a,coding
llama-4-maverick-03-26-experimental,gemma-3n-e4b-it,model_a,coding
gemini-2.5-flash-lite-preview-06-17-thinking,llama-4-maverick-03-26-experimental,model_b,other
gemini-2.5-pro-preview-05-06,command-a-03-2025,model_b,other
gemma-3-27b-it,o3-2025-04-16,model_a,coding
claude-opus-4-20250514-thinking-16k,o4-mini-2025-04-16,model_b,other
gemini-2.5-flash,qwen3-30b-a3b,model_b,other
claude-3-5-haiku-20241022,gemini-2.5-pro-preview-03-25,model_b,other
deepseek-r1-0528,gemini-2.5-pro,model_b,other
deepseek-r1-0528,qwen-max-2025-01-25,model_a,other
command-a-03-2025,o3-2025-04-16,model_a,other
claude-sonnet-4-20250514,claude-3-5-haiku-20241022,model_a,other
o4-mini-2025-04-16,claude-opus-4-20250514-thinking-16k,model_a,other
kimi-k2-0711-preview,chatgpt-4o-latest-20250326,model_b,coding
llama-3.3-70b-instruct,claude-3-5-haiku-20241022,model_a,coding
grok-3-preview-02-24,gemma-3-27b-it,model_a,other
claude-3-5-haiku-20241022,gemini-2.5-pro-preview-03-25,model_b,other
llama-3.3-70b-instruct,chatgpt-4o-latest-20250326,model_b,other
claude-opus-4-20250514,gemini-2.5-flash,model_a,coding
gemini-2.5-flash,chatgpt-4o-latest-20250326,model_b,other
llama-3.3-70b-instruct,deepseek-r1-0528,model_a,coding
claude-opus-4-20250514-thinking-16k,claude-opus-4-20250514,model_b,other
mistral-medium-2505,minimax-m1,model_a,other
gpt-4.1-2025-04-14,minimax-m1,model_b,other
gemini-2.5-flash-lite-preview-06-17-thinking,gemma-3n-e4b-it,model_a,coding
o3-2025-04-16,command-a-03-2025,model_a,other
claude-3-7-sonnet-20250219-thinking-32k,qwen3-30b-a3b,model_b,other
gpt-4.1-mini-2025-04-14,llama-4-maverick-17b-128e-instruct,model_a,coding
gemma-3-27b-it,llama-4-maverick-03-26-experimental,model_a,other
deepseek-r1-0528,o3-2025-04-16,model_a,coding
claude-3-5-haiku-20241022,gemma-3-27b-it,model_b,other
deepseek-r1-0528,claude-opus-4-20250514,model_a,other
qwen3-30b-a3b,gemma-3-27b-it,model_a,coding
gemini-2.5-flash,qwen-max-2025-01-25,model_b,other
amazon.nova-pro-v1:0,gpt-4.1-mini-2025-04-14,model_a,other
qwen-max-2025-01-25,gpt-4.1-2025-04-14,model_a,other
claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,model_b,coding
mistral-small-2506,gpt-4.1-2025-04-14,model_b,other
grok-3-preview-02-24,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,coding
gemini-2.5-flash,deepseek-v3-0324,model_a,other
claude-3-7-sonnet-20250219-thinking-32k,claude-3-5-sonnet-20241022,model_a,coding
gemini-2.5-pro,o4-mini-2025-04-16,model_a,other
gemini-2.5-flash-preview-04-17,qwen3-235b-a22b-no-thinking,model_b,coding
chatgpt-4o-latest-20250326,qwen-max-2025-01-25,model_b,other
gemini-2.5-pro-preview-05-06,command-a-03-2025,model_b,coding
claude-sonnet-4-20250514,grok-4-0709,model_b,coding
gemini-2.5-pro,gemma-3-27b-it,model_b,other
claude-3-5-sonnet-20241022,qwen3-30b-a3b,model_a,other
gemini-2.5-flash,qwen3-235b-a22b-no-thinking,model_a,other
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-flash,model_b,coding
claude-3-5-sonnet-20241022,gemini-2.5-flash,model_b,other
gemini-2.0-flash-001,gemini-2.5-pro,model_b,other
gemini-2.5-flash,command-a-03-2025,model_a,coding
claude-sonnet-4-20250514,qwen3-235b-a22b,model_a,other
qwen3-30b-a3b,deepseek-r1-0528,model_b,other
gpt-4.1-2025-04-14,grok-3-preview-02-24,model_a,coding
gemini-2.5-pro,claude-opus-4-20250514-thinking-16k,model_b,coding
llama-4-maverick-17b-128e-instruct,claude-3-5-sonnet-20241022,model_a,other
claude-opus-4-20250514-thinking-16k,gpt-4.1-mini-2025-04-14,model_b,coding
claude-3-5-haiku-20241022,gemini-2.5-pro-preview-03-25,model_b,coding
claude-3-5-sonnet-20241022,gpt-4.1-mini-2025-04-14,model_b,other
minimax-m1,mistral-medium-2505,model_a,coding
command-a-03-2025,o4-mini-2025-04-16,model_b,other
gemini-2.5-pro,gemini-2.5-flash,model_b,other
gemini-2.5-pro,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,other
llama-4-maverick-03-26-experimental,llama-3.3-70b-instruct,model_b,other
llama-4-maverick-03-26-experimental,qwen-max-2025-01-25,model_a,other
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,coding
gemini-2.5-flash,mistral-small-2506,model_a,other
gemini-2.0-flash-001,claude-3-7-sonnet-20250219,model_a,other
gemini-2.5-flash-preview-04-17,mistral-small-2506,model_a,coding
claude-3-5-sonnet-20241022,deepseek-v3-0324,model_b,coding
gemini-2.0-flash-001,llama-4-maverick-03-26-experimental,model_b,coding
llama-4-scout-17b-16e-instruct,llama-4-maverick-17b-128e-instruct,model_b,other
deepseek-r1-0528,grok-3-mini-beta,model_b,other
gemini-2.5-flash-lite-preview-06-17-thinking,mistral-medium-2505,model_a,coding
o3-mini,claude-sonnet-4-20250514-thinking-32k,model_b,coding
qwen3-235b-a22b-no-thinking,claude-3-5-haiku-20241022,model_b,other
llama-4-maverick-03-26-experimental,grok-3-mini-high,model_a,other
grok-4-0709,gemini-2.5-pro,model_b,other
o3-2025-04-16,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,other
llama-4-maverick-03-26-experimental,o3-mini,model_b,other
amazon.nova-pro-v1:0,gpt-4.1-2025-04-14,model_b,other
mistral-small-3.1-24b-instruct-2503,claude-opus-4-20250514-thinking-16k,model_a,other
gemini-2.5-flash-lite-preview-06-17-thinking,o3-2025-04-16,model_b,coding
gemini-2.5-flash-lite-preview-06-17-thinking,claude-sonnet-4-20250514,model_a,other
claude-opus-4-20250514,claude-3-5-sonnet-20241022,model_a,other
claude-3-7-sonnet-20250219,claude-3-5-haiku-20241022,model_b,other
qwen3-235b-a22b-no-thinking,o3-mini,model_b,other
o3-2025-04-16,gemma-3-27b-it,model_a,other
grok-3-preview-02-24,llama-3.3-70b-instruct,model_a,other
qwen3-235b-a22b-no-thinking,claude-sonnet-4-20250514,model_a,coding
claude-3-7-sonnet-20250219,gpt-4.1-mini-2025-04-14,model_b,other
qwen3-30b-a3b,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,other
gemini-2.5-flash-preview-04-17,o3-2025-04-16,model_b,other
chatgpt-4o-latest-20250326,claude-opus-4-20250514,model_a,other
claude-3-5-haiku-20241022,gemini-2.0-flash-001,model_b,coding
gemini-2.5-flash,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,other
gemini-2.0-flash-001,claude-opus-4-20250514,model_b,other
claude-sonnet-4-20250514-thinking-32k,o3-2025-04-16,model_b,other
chatgpt-4o-latest-20250326,deepseek-v3-0324,model_b,other
claude-sonnet-4-20250514-thinking-32k,o3-2025-04-16,model_a,other
minimax-m1,amazon.nova-pro-v1:0,model_b,other
gemini-2.5-flash,grok-3-mini-high,model_b,other
amazon-nova-experimental-chat-05-14,llama-4-maverick-03-26-experimental,model_b,other
gemini-2.5-pro-preview-05-06,gpt-4.1-2025-04-14,model_b,other
minimax-m1,gemini-2.0-flash-001,model_b,other
chatgpt-4o-latest-20250326,gemini-2.0-flash-001,model_a,other
gpt-4.1-2025-04-14,qwq-32b,model_b,other
claude-sonnet-4-20250514,mistral-medium-2505,model_b,other
gemini-2.5-pro,minimax-m1,model_a,other
claude-3-5-haiku-20241022,claude-3-5-sonnet-20241022,model_a,other
gemma-3n-e4b-it,command-a-03-2025,model_b,other
gemini-2.0-flash-001,gpt-4o-2024-11-20,model_b,coding
claude-opus-4-20250514-thinking-16k,o3-2025-04-16,model_a,other
llama-4-maverick-17b-128e-instruct,claude-opus-4-20250514,model_a,other
o3-mini,claude-3-5-sonnet-20241022,model_a,coding
o3-mini,command-a-03-2025,model_a,coding
gemini-2.5-pro,gemini-2.5-flash,model_b,other
gemini-2.5-flash-lite-preview-06-17-thinking,o4-mini-2025-04-16,model_b,coding
gemini-2.5-flash-lite-preview-06-17-thinking,claude-3-5-sonnet-20241022,model_b,coding
claude-sonnet-4-20250514,gemini-2.5-flash,model_b,coding
grok-3-preview-02-24,deepseek-v3-0324,model_b,other
mistral-small-2506,deepseek-r1-0528,model_b,other
gemma-3n-e4b-it,o4-mini-2025-04-16,model_a,other
gemini-2.5-pro,gemini-2.5-flash-preview-04-17,model_a,other
claude-opus-4-20250514,gpt-4.1-mini-2025-04-14,model_b,other
gemini-2.5-flash,gpt-4.1-mini-2025-04-14,model_a,other
gemini-2.5-pro,magistral-medium-2506,model_a,other
qwen3-235b-a22b,gpt-4.1-mini-2025-04-14,model_a,other
claude-3-7-sonnet-20250219-thinking-32k,mistral-medium-2505,model_b,other
o3-2025-04-16,mistral-small-2506,model_a,other
mistral-medium-2505,claude-sonnet-4-20250514,model_b,other
gpt-4o-mini-2024-07-18,qwq-32b,model_b,coding
gemini-2.0-flash-001,minimax-m1,model_b,other
qwen3-30b-a3b,grok-3-preview-02-24,model_b,coding
chatgpt-4o-latest-20250326,o3-mini,model_b,other
claude-sonnet-4-20250514-thinking-32k,claude-sonnet-4-20250514,model_a,other
claude-sonnet-4-20250514-thinking-32k,claude-opus-4-20250514-thinking-16k,model_a,coding
grok-3-mini-beta,claude-3-7-sonnet-20250219,model_a,coding
gpt-4.1-2025-04-14,grok-3-mini-beta,model_a,other
mistral-medium-2505,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,other
hunyuan-turbos-20250416,mistral-medium-2505,model_a,other
amazon.nova-pro-v1:0,claude-3-7-sonnet-20250219-thinking-32k,model_a,coding
llama-3.3-70b-instruct,gemini-2.5-flash,model_b,coding
claude-3-5-sonnet-20241022,chatgpt-4o-latest-20250326,model_b,coding
gemini-2.0-flash-thinking-exp-01-21,qwq-32b,model_a,other
claude-opus-4-20250514-thinking-16k,gemma-3n-e4b-it,model_a,coding
grok-3-preview-02-24,mistral-small-2506,model_a,coding
grok-3-mini-beta,o3-mini,model_b,other
o3-mini,llama-3.3-70b-instruct,model_b,coding
grok-3-mini-beta,gemini-2.5-pro-preview-03-25,model_b,other
chatgpt-4o-latest-20250326,qwen3-235b-a22b,model_a,other
mistral-small-3.1-24b-instruct-2503,gemini-2.5-pro-preview-05-06,model_b,other
deepseek-v3-0324,qwen-max-2025-01-25,model_b,other
gemini-2.5-flash-lite-preview-06-17-thinking,gemini-2.5-flash,model_a,other
grok-3-mini-high,claude-opus-4-20250514,model_a,other
gemini-2.0-flash-001,qwen3-235b-a22b-no-thinking,model_a,other
claude-3-7-sonnet-20250219-thinking-32k,claude-sonnet-4-20250514,model_b,other
claude-3-5-sonnet-20241022,deepseek-v3-0324,model_a,other
qwen3-30b-a3b,o4-mini-2025-04-16,model_b,coding
gemini-2.5-flash-lite-preview-06-17-thinking,qwen3-30b-a3b,model_a,other
gemini-2.5-flash-lite-preview-06-17-thinking,mistral-small-3.1-24b-instruct-2503,model_b,coding
claude-sonnet-4-20250514,qwq-32b,model_b,other
gemini-2.5-pro-preview-05-06,claude-3-7-sonnet-20250219-thinking-32k,model_a,other
o4-mini-2025-04-16,claude-3-7-sonnet-20250219,model_b,other
claude-opus-4-20250514,qwen3-235b-a22b,model_b,other
llama-3.3-70b-instruct,claude-opus-4-20250514-thinking-16k,model_a,other
claude-3-7-sonnet-20250219-thinking-32k,llama-4-maverick-17b-128e-instruct,model_b,coding
gemini-2.0-flash-001,gemini-2.5-flash-preview-04-17,model_b,other
gpt-4.1-2025-04-14,gemini-2.0-flash-001,model_b,other
gemini-2.5-pro,gemini-2.5-flash,model_a,other
gemma-3n-e4b-it,gemma-3-27b-it,model_a,coding
command-a-03-2025,claude-opus-4-20250514,model_a,other
claude-3-7-sonnet-20250219,llama-4-maverick-03-26-experimental,model_b,other
amazon-nova-experimental-chat-05-14,deepseek-v3-0324,model_a,other
command-a-03-2025,deepseek-v3-0324,model_a,coding
mistral-medium-2505,gemini-2.5-flash-lite-preview-06-17-thinking,model_a,other
claude-sonnet-4-20250514,claude-3-7-sonnet-20250219-thinking-32k,model_b,other
qwen3-235b-a22b-no-thinking,grok-3-mini-beta,model_a,coding
gemma-3-27b-it,gemini-2.0-flash-001,model_b,other
gemini-2.0-flash-001,gpt-4.1-2025-04-14,model_a,other
o4-mini-2025-04-16,qwen3-235b-a22b,model_a,other
grok-3-preview-02-24,qwq-32b,model_a,other
gemini-2.5-pro,amazon-nova-experimental-chat-05-14,model_b,other
mistral-small-3.1-24b-instruct-2503,qwen3-235b-a22b-no-thinking,model_b,other
gemini-2.0-flash-001,chatgpt-4o-latest-20250326,model_a,coding
gemini-2.5-flash-lite-preview-06-17-thinking,llama-4-scout-17b-16e-instruct,model_b,coding
claude-opus-4-20250514-thinking-16k,claude-3-7-sonnet-20250219-thinking-32k,model_a,other
o3-mini,claude-opus-4-20250514,model_a,other
llama-4-maverick-03-26-experimental,claude-3-5-haiku-20241022,model_a,other
deepseek-r1-0528,mistral-medium-2505,model_a,other
o3-2025-04-16,qwen3-235b-a22b,model_b,other
grok-3-mini-beta,llama-4-maverick-03-26-experimental,model_b,other
llama-4-maverick-03-26-experimental,o4-mini-2025-04-16,model_a,other
claude-opus-4-20250514-thinking-16k,qwen-max-2025-01-25,model_a,other
gpt-4.1-2025-04-14,minimax-m1,model_b,other
deepseek-r1-0528,grok-3-mini-high,model_b,other
chatgpt-4o-latest-20250326,claude-opus-4-20250514-thinking-16k,model_a,other
claude-3-5-haiku-20241022,grok-3-mini-high,model_b,other
grok-3-mini-beta,qwq-32b,model_b,other
gemini-2.5-pro,claude-sonnet-4-20250514,model_b,other
qwen-max-2025-01-25,gemini-2.5-pro-preview-03-25,model_b,coding
gemini-2.5-flash,mistral-medium-2505,model_b,other
claude-opus-4-20250514,claude-3-5-haiku-20241022,model_b,other
gemini-2.5-flash-preview-04-17,o3-2025-04-16,model_b,other
qwen-max-2025-01-25,kimi-k2-0711-preview,model_b,other
gemini-2.5-pro,qwen3-235b-a22b,model_a,other
qwen3-30b-a3b,gpt-4.1-mini-2025-04-14,model_b,coding
amazon.nova-pro-v1:0,claude-opus-4-20250514,model_b,coding
gemini-2.5-flash,qwen3-235b-a22b,model_a,other
claude-opus-4-20250514-thinking-16k,llama-4-scout-17b-16e-instruct,model_a,other
claude-opus-4-20250514,deepseek-r1-0528,model_a,coding
gemini-2.5-flash,claude-3-7-sonnet-20250219,model_a,other
gemma-3-27b-it,grok-3-preview-02-24,model_b,coding
gpt-4.1-2025-04-14,gemma-3-27b-it,model_a,other
llama-4-maverick-03-26-experimental,claude-sonnet-4-20250514,model_a,coding
chatgpt-4o-latest-20250326,qwen3-235b-a22b,model_a,other
llama-4-maverick-17b-128e-instruct,kimi-k2-0711-preview,model_a,other
claude-opus-4-20250514-thinking-16k,claude-3-5-haiku-20241022,model_a,other
gemini-2.5-pro,claude-3-7-sonnet-20250219-thinking-32k,model_a,other
deepseek-r1-0528,o4-mini-2025-04-16,model_b,other
mistral-medium-2505,claude-3-7-sonnet-20250219-thinking-32k,model_a,other
claude-3-7-sonnet-20250219,gpt-4.1-mini-2025-04-14,model_b,other
claude-3-7-sonnet-20250219,mistral-medium-2505,model_a,coding
gemma-3n-e4b-it,deepseek-r1-0528,model_b,other
claude-3-7-sonnet-20250219-thinking-32k,claude-opus-4-20250514-thinking-16k,model_b,other
claude-opus-4-20250514,claude-3-5-sonnet-20241022,model_a,coding
gemini-2.5-flash-preview-04-17,gemini-2.0-flash-001,model_a,coding
qwen3-235b-a22b-instruct-2507,command-a-03-2025,model_b,coding
deepseek-r1-0528,o4-mini-2025-04-16,model_b,coding
claude-sonnet-4-20250514-thinking-32k,claude-3-7-sonnet-20250219,model_a,coding
grok-3-mini-beta,claude-3-7-sonnet-20250219,model_a,other
minimax-m1,deepseek-r1-0528,model_b,coding
gemini-2.5-flash-lite-preview-06-17-thinking,claude-3-7-sonnet-20250219,model_b,other
o3-2025-04-16,minimax-m1,model_a,other
claude-sonnet-4-20250514,claude-3-5-haiku-20241022,model_a,other
hunyuan-turbos-20250416,gemini-2.5-pro,model_b,other
claude-3-7-sonnet-20250219,o3-mini,model_a,other
gpt-4.1-2025-04-14,claude-opus-4-20250514,model_a,other
gpt-4.1-mini-2025-04-14,claude-sonnet-4-20250514,model_a,other
o4-mini-2025-04-16,o3-mini,model_a,other
llama-4-scout-17b-16e-instruct,o4-mini-2025-04-16,model_b,other
llama-3.3-70b-instruct,gemini-2.0-flash-001,model_b,coding
gemini-2.5-pro,gemini-2.5-flash,model_a,other
gemini-2.0-flash-001,grok-3-preview-02-24,model_a,coding
amazon-nova-experimental-chat-05-14,qwen3-235b-a22b-no-thinking,model_b,other
chatgpt-4o-latest-20250326,claude-3-5-haiku-20241022,model_a,coding
o4-mini-2025-04-16,qwen3-235b-a22b-no-thinking,model_a,other
qwq-32b,llama-4-maverick-17b-128e-instruct,model_b,other
qwen3-30b-a3b,gpt-4.1-2025-04-14,model_b,other
deepseek-r1-0528,gemini-2.5-pro,model_b,other
gemini-2.5-flash,gemini-2.0-flash-001,model_b,other
o4-mini-2025-04-16,qwen3-30b-a3b,model_b,other
gpt-4.1-2025-04-14,deepseek-r1-0528,model_b,other
deepseek-v3-0324,qwen3-235b-a22b-no-thinking,model_b,other
claude-opus-4-20250514,claude-3-7-sonnet-20250219-thinking-32k,model_b,coding
deepseek-r1-0528,llama-4-scout-17b-16e-instruct,model_a,coding
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-pro-preview-05-06,model_b,other
gemini-2.5-flash,mistral-medium-2505,model_b,other
gemini-2.5-flash,llama-4-maverick-17b-128e-instruct,model_a,coding
claude-3-5-haiku-20241022,kimi-k2-0711-preview,model_b,other
chatgpt-4o-latest-20250326,gemini-2.0-flash-001,model_a,other
minimax-m1,claude-opus-4-20250514,model_b,coding
llama-3.3-70b-instruct,deepseek-r1-0528,model_b,other
grok-3-mini-high,gemma-3n-e4b-it,model_a,other
claude-3-7-sonnet-20250219-thinking-32k,claude-sonnet-4-20250514,model_a,other
gemma-3n-e4b-it,qwen-max-2025-01-25,model_b,coding
gpt-4.1-2025-04-14,claude-3-5-haiku-20241022,model_a,other
llama-4-scout-17b-16e-instruct,claude-opus-4-20250514,model_a,other
claude-3-7-sonnet-20250219,claude-sonnet-4-20250514,model_a,coding
llama-4-maverick-03-26-experimental,grok-3-mini-beta,model_a,other
o3-mini,claude-3-7-sonnet-20250219-thinking-32k,model_a,other
claude-3-7-sonnet-20250219,deepseek-r1-0528,model_b,other
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-pro,model_b,other
gemini-2.5-flash,claude-opus-4-20250514,model_b,other
llama-3.3-70b-instruct,claude-3-5-haiku-20241022,model_b,other
claude-3-5-sonnet-20241022,qwen3-235b-a22b-no-thinking,model_b,other
minimax-m1,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,coding
o3-mini,o4-mini-2025-04-16,model_b,other
gemini-2.5-pro,o3-2025-04-16,model_a,other
qwen3-30b-a3b,minimax-m1,model_a,other
kimi-k2-0711-preview,gemini-2.5-flash,model_a,other
llama-4-scout-17b-16e-instruct,amazon-nova-experimental-chat-05-14,model_b,other
claude-3-5-haiku-20241022,deepseek-r1-0528,model_b,coding
o3-2025-04-16,qwen-max-2025-01-25,model_a,coding
claude-sonnet-4-20250514-thinking-32k,o4-mini-2025-04-16,model_a,coding
command-a-03-2025,mistral-medium-2505,model_b,coding
gpt-4.1-mini-2025-04-14,grok-3-mini-high,model_a,other
minimax-m1,chatgpt-4o-latest-20250326,model_a,other
claude-opus-4-20250514-thinking-16k,llama-3.3-70b-instruct,model_b,coding
amazon-nova-experimental-chat-05-14,gemini-2.5-pro,model_a,other
qwen3-235b-a22b-no-thinking,chatgpt-4o-latest-20250326,model_b,other
amazon.nova-pro-v1:0,claude-sonnet-4-20250514-thinking-32k,model_b,other
claude-sonnet-4-20250514,llama-4-maverick-03-26-experimental,model_b,other
amazon-nova-experimental-chat-05-14,claude-3-5-haiku-20241022,model_a,other
claude-opus-4-20250514-thinking-16k,claude-3-7-sonnet-20250219-thinking-32k,model_a,other
amazon-nova-experimental-chat-05-14,o3-2025-04-16,model_b,coding
chatgpt-4o-latest-20250326,llama-3.3-70b-instruct,model_a,coding
claude-sonnet-4-20250514-thinking-32k,deepseek-r1-0528,model_a,other
gemini-2.5-flash,claude-3-5-sonnet-20241022,model_a,other
llama-4-scout-17b-16e-instruct,deepseek-v3-0324,model_a,other
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,other
qwen3-235b-a22b,amazon.nova-pro-v1:0,model_b,other
gemini-2.5-flash-preview-04-17,o3-2025-04-16,model_a,coding
claude-sonnet-4-20250514-thinking-32k,llama-3.3-70b-instruct,model_b,other
o3-2025-04-16,deepseek-r1-0528,model_b,other
gpt-4.1-mini-2025-04-14,o4-mini-2025-04-16,model_b,coding
gemini-2.0-flash-001,o3-mini,model_b,other
gemini-2.5-flash-preview-04-17,claude-sonnet-4-20250514,model_a,other
claude-opus-4-20250514,grok-3-mini-beta,model_b,other
claude-sonnet-4-20250514-thinking-32k,amazon-nova-experimental-chat-05-14,model_a,other
gemini-2.5-pro,gemma-3-27b-it,model_b,coding
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-flash,model_b,other
claude-3-5-haiku-20241022,magistral-medium-2506,model_b,coding
gemini-2.0-flash-001,qwen-max-2025-01-25,model_a,other
mistral-medium-2505,gemma-3-27b-it,model_b,other
claude-opus-4-20250514-thinking-16k,claude-sonnet-4-20250514,model_a,other
claude-3-5-haiku-20241022,o4-mini-2025-04-16,model_b,other
gemini-2.5-pro-preview-03-25,gpt-4.1-2025-04-14,model_a,other
gemini-2.5-flash-preview-04-17,llama-4-maverick-17b-128e-instruct,model_a,other
claude-opus-4-20250514-thinking-16k,chatgpt-4o-latest-20250326,model_a,coding
grok-3-mini-beta,mistral-medium-2505,model_b,other
mistral-small-2506,claude-3-5-haiku-20241022,model_a,other
qwen-max-2025-01-25,gemma-3n-e4b-it,model_b,other
llama-4-maverick-17b-128e-instruct,gemini-2.5-pro,model_b,other
grok-3-mini-beta,grok-3-preview-02-24,model_b,coding
claude-3-5-sonnet-20241022,qwen-max-2025-01-25,model_b,coding
claude-opus-4-20250514-thinking-16k,o4-mini-2025-04-16,model_a,coding
claude-sonnet-4-20250514,o3-2025-04-16,model_a,coding
gemini-2.5-flash,gemma-3-27b-it,model_b,coding
gemini-2.5-flash-lite-preview-06-17-thinking,claude-3-5-sonnet-20241022,model_a,other
gemma-3-27b-it,gemini-2.5-pro,model_b,other
gpt-4.1-mini-2025-04-14,gemini-2.5-pro-preview-05-06,model_b,other
qwen3-30b-a3b,llama-4-maverick-17b-128e-instruct,model_b,other
grok-3-mini-high,command-a-03-2025,model_b,coding
gemini-2.5-pro,gemini-2.0-flash-001,model_a,coding
claude-3-7-sonnet-20250219,deepseek-r1-0528,model_b,other
gemma-3-27b-it,mistral-medium-2505,model_b,other
gemini-2.5-flash-preview-04-17,qwen3-30b-a3b,model_b,other
qwen-max-2025-01-25,gemini-2.0-flash-thinking-exp-01-21,model_a,coding
qwen3-235b-a22b-no-thinking,grok-3-mini-beta,model_a,other
gemma-3-27b-it,o3-mini,model_a,other
claude-3-5-sonnet-20241022,gemini-2.5-flash,model_b,other
llama-4-maverick-03-26-experimental,claude-opus-4-20250514-thinking-16k,model_b,other
o3-mini,gemini-2.5-pro,model_b,other
claude-3-5-sonnet-20241022,qwen3-235b-a22b-no-thinking,model_b,other
gemma-3n-e4b-it,claude-sonnet-4-20250514,model_b,other
minimax-m1,gemini-2.5-pro,model_b,other
gemini-2.5-flash,claude-sonnet-4-20250514,model_a,other
claude-3-7-sonnet-20250219-thinking-32k,grok-3-mini-high,model_b,coding
deepseek-v3-0324,o3-2025-04-16,model_b,other
claude-sonnet-4-20250514,grok-3-preview-02-24,model_a,coding
claude-opus-4-20250514,gpt-4.1-mini-2025-04-14,model_b,other
gpt-4.1-mini-2025-04-14,claude-3-7-sonnet-20250219-thinking-32k,model_a,other
